St. Lucia,22821.24587,25598.31348,30013.19517,28917.8149,29188.75637,28656.92984,29599.28495,30472.27999,31222.36116,30898.64708,23285.03592,26072.54161
Latin America & Caribbean,,,,,,,,,,,,
Least developed countries: UN classification,,,,,,,,,,,,
Low income,,,,,,,,,,,,
Liechtenstein,81261.90758,124059.98,,,,,,,,,,
Sri Lanka,178157.7037,273323.4781,490980.8437,506903.2961,534224.7191,551596.9179,573104.7268,603274.1914,610773.3452,605709.1381,581582.8836,594502.6901
Lower middle income,,,,,,,,,,,,
Low & middle income,,,,,,,,,,,,
Lesotho,4944.155532,6695.151979,9902.500148,9986.585382,10054.13666,10254.65218,10498.74162,10043.97326,9925.863039,9893.315053,8952.366177,8964.227462
Late-demographic dividend,,,,,,,,,,,,
Lithuania,,5789.406081,11427.26037,11953.29462,12482.95558,12856.06026,13348.42696,14116.10121,14820.54461,15547.10954,15539.56603,16433.98282
Luxembourg,59509.96726,83394.89571,94174.43017,94941.62434,95162.4248,95052.53474,97656.7763,96566.81636,95877.01456,96194.4884,93850.41219,97152.71442
Latvia,,6061.522671,11185.41782,11532.87934,11863.45348,12425.6842,12836.77981,13380.04724,14022.99325,14483.68971,14264.28912,14970.28374
"Macao SAR, China",261073.5323,275575.6015,790039.2267,859348.4042,826708.5094,637170.2704,621282.0415,670551.151,700321.5098,669703.8965,300760.1847,353314.1957
St. Martin (French part),,,,,,,,,,,,
Morocco,13894.52344,15889.87988,23809.78906,24549.60742,28838.22852,29709.84375,29495.33789,30613.88281,31195.37695,31757.72266,29162.24609,31142.47266
Monaco,94482.21444,107355.4782,130564.8415,140138.3204,147363.6112,151798.1502,155720.1047,150377.9289,159399.3897,170383.9715,148743.2967,181965.8725
Moldova,,17888.40443,31729.49082,34608.33149,36360.78176,36516.82731,38572.8248,41085.67785,43612.55111,45948.44563,43027.23493,49400.85326
Madagascar,906627.1651,786767.8936,750371.4428,747396.3357,752326.8437,756068.0732,766186.8802,776008.6715,780603.1616,794712.8145,719894.34,733639.4244
Maldives,,98303.77548,127438.3788,132217.5411,136456.8302,134319.3598,136962.4151,141183.7413,147255.0684,153095.6774,99854.26893,139633.374
Middle East & North Africa,,,,,,,,,,,,
Mexico,113086.1981,132139.2308,138737.8302,138776.4675,140970.2746,143923.2041,146044.7087,147528.2545,149338.5001,147764.5945,134976.1049,140559.219
Marshall Islands,3024.455194,2786.341841,3348.68111,3529.437997,3554.491362,3703.649059,3862.829771,4091.243351,4373.876362,4984.647201,5041.056826,5262.475624
Middle income,,,,,,,,,,,,
