Country Name,1990 [YR1990],2000 [YR2000],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Guinea-Bissau,250.5898464,301.4955612,598.5726713,616.1599585,605.1225831,585.9570106,642.6664064,718.2457991,781.6443091,730.6114487,710.2581385,795.1185693
Guyana,530.8175214,938.893298,5461.390967,5576.24931,5495.376197,5668.429765,5905.380196,6220.978568,6094.908859,6477.296726,6863.074346,9998.544311
Haiti,447.0962904,814.9993042,1356.172882,1452.312144,1453.917477,1404.155214,1305.571297,1384.038372,1494.224962,1324.844005,1283.14083,1829.593044
Honduras,974.2294838,1079.607485,2107.350831,2064.548406,2164.420219,2257.222712,2295.538079,2403.304451,2457.688921,2519.370194,2354.119614,2771.717461
"Hong Kong SAR, China",13485.54489,25756.66378,36730.8767,38403.77771,40315.28556,42431.88828,43733.91636,46160.42979,48537.56689,48356.0635,46107.76528,49800.54241
Hungary,..,4624.281657,12984.83657,13715.07036,14294.25842,12717.0386,13104.69955,14621.2396,16425.1013,16782.95246,16120.98905,18728.12189
Iceland,25384.91502,32096.37226,45995.54788,49804.983,54576.74481,52951.68151,61987.92636,72010.14903,74461.48,68853.71522,59200.17794,68727.63666
India,368.7497594,442.0347789,1434.018198,1438.05748,1559.864518,1590.173918,1714.280355,1957.968841,1974.377788,2047.232704,1910.421473,2256.590409
Indonesia,582.6789678,770.8653516,3668.21207,3602.885517,3476.624853,3322.581688,3558.818852,3839.785069,3902.661668,4151.227543,3894.272202,4332.709281
"Iran, Islamic Rep.",2237.052261,1672.022877,8329.002044,6280.681858,5757.543337,4990.936798,5497.243227,5758.59072,3873.99534,3277.875596,2746.42045,4091.209187
Iraq,10216.56881,1963.722839,6437.503076,6612.902252,6215.986033,4416.943049,4305.202702,4725.193573,5601.467061,5621.181695,4332.304125,4775.377454
Ireland,14031.30257,26334.56721,49054.69743,51546.35476,55643.05943,62053.98444,62895.91112,69970.94891,79250.38785,80927.07467,85420.19086,100172.0793
Isle of Man,..,20693.83817,79332.27156,83199.61956,91885.60779,84759.34595,82045.43884,83507.79761,89429.65459,87157.47146,..,..
Israel,..,21630.74761,33156.22832,36941.84236,38259.6811,36206.52222,37690.47395,41114.78171,42406.84543,44452.23256,44846.7916,52170.71186
Italy,20825.78422,20137.59122,35051.52127,35560.08141,35565.72138,30242.38614,30960.73151,32406.72032,34622.16967,33673.75096,31911.03579,35657.49756
Jamaica,1919.802037,3447.303896,5365.242293,5143.721312,4991.565519,5077.550622,5022.704717,5273.150744,5594.493935,5626.171177,4897.265897,5183.581305
Japan,25371.46417,39169.35957,49145.28043,40898.6479,38475.39525,34960.63938,39375.47316,38834.05293,39727.1166,40458.00188,39918.16756,39312.66037
Jordan,1195.247447,1673.358125,4386.461816,4477.618326,4255.89431,4064.253016,4003.404749,4073.116404,4146.407296,4205.563654,4042.76935,4103.258966
Kazakhstan,1647.463243,1229.001247,12386.69927,13890.63096,12807.26069,10510.77189,7714.841844,9247.581331,9812.626371,9812.595808,9121.637138,10373.78979
Kenya,370.100147,411.8215792,1289.780822,1376.828869,1489.919111,1496.652856,1562.076142,1675.973916,1845.78294,1970.105143,1936.424589,2081.799855
Kiribati,571.4798924,757.1451422,1698.920883,1628.710205,1546.830177,1459.133021,1506.246679,1563.550457,1605.01365,1432.178985,1430.551574,1606.462514
"Korea, Dem. People's Rep.",..,..,..,..,..,..,..,..,..,..,..,..
